id,recruiter,post_url,job_title,job_type,publication_date,expiration_date,job_description,job_requirements,location
11,11,https://www.tanitjobs.com/job/554187/chargé-e-clientèle-francophone/?backPage=&searchID=1560199048.8405,Chargé(e) Clientèle Francophone,CDI,21/05/2019,20/06/2019,"Are you passionate about interacting directly with customers and helping to resolve their issues?
As a CARE Representative, you will handle customer service inquiries regarding products, services and site navigation in a professional and efficient manner. The selected candidate will follow established guidelines to support our commitment to providing world-class service
 
Your role will include:

Answering all customer inquiries through various channels (telephone, chat, email and any additional channels as developed) in a courteous and professional manner
Performing accurate diagnosis of inquiries and provide appropriate solutions/responses based on defined procedures
Using appropriate systems and available resources as necessary to assist in responding to each request
Supporting and providing information to all internal and external customers in a professional and courteous manner
Participating in cross-functional communications and meetings to support the team/domain/center
Performing additional responsibilities as required

In return you will bring:

Undergraduate degree in Marketing or Business Administration preferred
Strong command of the French
At least one (1) year of customer service experience
Previous experience in a multi-channel customer service environment preferred
The ability to provide excellent customer service while multi-tasking
Experience with graphic design and/or photo imaging design software a plus

Apply today and take advantage of this exciting opportunity to be a part of this global, fast-paced and dynamic organization.","In return you will bring:

Undergraduate degree in Marketing or Business Administration preferred
Strong command of the French
At least one (1) year of customer service experience
Previous experience in a multi-channel customer service environment preferred
The ability to provide excellent customer service while multi-tasking
Experience with graphic design and/or photo imaging design software a plus

Apply NOW and take advantage of this exciting opportunity to be a part of this global, fast-paced and dynamic organization.","Les Berges Du Lac II, Tunis, Tunisie"
12,5,https://www.tanitjobs.com/job/511401/chef-d-équipe-pl-sql-oracle-apex/?backPage=&searchID=1560199048.8405,"Chef d'équipe PL/SQL, ORACLE/APEX",CDI,29/12/2018,29/12/2019,"La société Manwork expert en recrutement et placement du personnel recrute pour l'un de ses clients basée à Munich/Allemagne et possède deux succursales en Suisse et en Tunisie, leader dans le domaine de la transformation digitale, plusieurs développeurs expérimenté dans PL/SQL et dans la conception de solutions avec ORACLE Forms /APEX.","Missions

La modélisation de schémas de la base de données Oracle.
La création de scripts de chargement de données.
Développement et maintenance des applications APEX.
Le développement des interfaces.
la personnalisation des rapports ainsi que la documentation technique et fonctionnelle.

Activités principales :

La participation à la maintenance à la fois évolutive et corrective des applications.


La contribution à la réussite de nos projets.


Assurez également un rôle de support auprès des utilisateurs.

Profil demandé
Titulaire d'un diplôme en informatique de l'enseignement supérieur.
Une expérience de 3 ans minimum dans cet environnement est exigée.

Compétences requises

Vous avez de très bonnes connaissances en : ORACLE, SQL, PL/SQL et des outils de développement associés.


Avoir une bonne Connaissance des technologies Web (HTML, JavaScript).


Bonne Connaissance des environnements de développement Oracle (APEX, Oracle

Forms, ...).

Experiences critiques avec PL/SQL, stored procedures, data base object modeling, performance tuning and data warehousing concepts avec Oracle.

Atouts recherchés : 

Bonnes aptitudes en communication écrite et verbale en
Avoir une bonne capacité de communication, d’écoute et d’analyse.
Responsable, rigoureux et discipliné.
Possède un esprit d'initiative et de créativité.
Aisance verbale et rédactionnelle.
Savoir travailler en équipe.

Nous vous offrons :

Carrière et stabilité.
La participation dans des projets de grandes envergures destinées au marché Européen.
L’intégration d’une équipe jeune et motivée.
Une rémunération motivante.
Tickets restaurant.
Primes/projets.
Convention de sport: Notre partenaire CALIFORNIA GYM.

 

Poste à pourvoir en CDI.
","Tunis, Tunisie"
13,13,https://www.tanitjobs.com/job/552621/conseiller-en-assurance-1200dt-net/?backPage=&searchID=1560199048.8405,Conseiller en Assurance 1200dt NET,CDI,15/05/2019,,"ECG PEREIRE Assurances groupe normé ISO 9001-2015, est implanté en Tunisie  en France, Maroc, Algérie et à Dakar avec plus de 12 ans d’existence en Tunisie et de plus de 24 ans d’existence sur le marché français, il continue sa stratégie de développement et recrute de nouveaux collaborateurs :
Avantages sociaux :
-  Contrat en CDI
-  Formation Initiale rémunérée dès le premier jour
-  Ticket restaurant
-  Evolution garantie
-  Cadre de travail très agréable.
Amplitude horaire :
– Horaire administratif (Week-end Off)
Salaire, commissions et primes:
-              1200 Dt en plus des commissions déplafonnées permettant de tripler votre salaire
-              Prime de bienvenue de 300DTN pour les expérimentés en télévente des contrats d’assurances
-              Prime de bienvenue de 100DTN pour les expérimentés en télévente « Emission d’appel »
Poste :
•  Vous commercialisez nos produits d’assurance auprès d’une clientèle de particuliers français.
•  Vous êtes responsable du suivi d’un portefeuille prospect que vous devez développer et fidéliser en vous appuyant sur un logiciel performant.
•  A ce titre, vos principales missions s’articuleront autour des axes suivants :
• Détecter les besoins de vos clients et les conseiller
•  Proposer à vos clients et/ou prospects les solutions adaptées à leurs besoins.
•  Promouvoir les produits et services de la société auprès de vos clients.
•  Veiller à atteindre les objectifs qualitatifs et quantitatifs fixés par la direction.
•  Assurer la remontée d’information auprès de votre responsable hiérarchique.
Profil:
-  Vous justifiez d’une expérience de minimum 1 an en télévente « Emission d’appel » ou en vente de produit d’assurance.
-  Votre capacité d’écoute et de dynamisme, de rigueur et d’organisation, font de vous un(e) candidat(e) à potentiel.
-  Vous aimez travailler en équipe pour unir vos talents afin d’optimiser la satisfaction des adhérents.
-  Votre maîtrise de la langue Française et votre qualité de discours irréprochable font de vous un(e) vrai(e) professionnel(le).
N’attendez pas et soyez le premier à postuler pour le poste qui vous permettra d’apprendre un métier et développer une carrière à l’échelle national et/ou international

Vos compétences nous intéressent !                                                                                  
Exprimez vos talents au sein d’un groupe engagé et international !
                                                                               Rejoignez nous ! 
·                                                                         Téléphone : 58 52 71 32 / 71782314",14/06/2019,"15 Rue de Irak, Tunis, Tunisie"
14,14,https://www.tanitjobs.com/job/557747/1-responsable-magasin/?backPage=&searchID=1560199048.8405,1 RESPONSABLE MAGASIN,CDI,03/06/2019,,"Notre client est une grande multinationale italienne spécialisée dans le transport international par voie terrestre, aérienne ou maritime. Fort de son histoire et de sa présence dans plus de 30 pays, notre client est un acteur majeur de la logistique et du transport en Tunisie.  
Dans le cadre de l’expansion de ses activités, notre client est actuellement à la recherche d’un :
                                                                  1 RESPONSABLE MAGASIN 
Votre mission : 
-Veiller à la maintenance générale des engins de manutentions, à leur entretien ainsi qu’au respect des consignes de sécurité.
-Organiser et préparer les inventaires, les balayages, et assurer le contrôle au niveau des stocks barres.
-Relayer les plans d’actions définis par la direction générale.
-Assurer une bonne tenue du magasin (rangement, présentation, classement, organisation générale, etc.)
-Réaliser les ouvertures et les fermetures du magasin.
-Effectuer la gestion administrative du magasin (passation des commandes).
-Assurer une bonne communication interne entre les différents collaborateurs.
Votre profil 
De formation Bac=2/3 Ecole de transport/Logistique ou autre domaine pertinent, vous justifiez d’au moins 3 ans d’expérience dans un poste similaire. Vous avez une parfaite connaissance des procédures liées à la douane et au transit et êtes capable de piloter des flux matières, mais aussi d’assurer une bonne gestion de stock.
Polyvalence, rigueur, autonomie, sens du commandement et de l’organisation sont autant de qualités indispensables à la réussite dans ce poste.
Nous vous offrons : 
- Un contrat CDI.
- Des avantages en nature : prime, bonification selon résultat.
- Un environnement de travail très dynamique et ouvert à l’international.
 
Pour postuler, merci de nous adresser votre CV en mentionnant la référence RMT à :  recrutement@groupe-fm.com",03/07/2019,"Port De Rades, Radès, Tunisie"
15,15,https://www.tanitjobs.com/job/552763/télé-gestionnaire-en-assurances-langue-espagnole/?backPage=&searchID=1560199048.8405,Télé-gestionnaire en assurances ( Langue Espagnole ),CDI,15/05/2019,14/06/2019,"Líder europeo en seguros y servicios Affinity para grandes marcas, SPB corredor-gestor, cuenta con cerca de 1900 colaboradores en 16 países. Es una empresa familiar francesa  creada en 1965 que trabaja en marca blanca (B2BtoC).Nuestro trabajo: desarrollar y gestionar programas de seguros, extensiones de garantía y servicios asociados a productos de telefonía móvil, productos nómadas, bancarios o incluso relacionados con energía, salud, viajes, ocio, previsión y bienes del hogar.
¿Buscas un puesto de trabajo estable en un ambiente distendido? Nuestra filial en Túnez SPB ISC, que cuenta con 350 colaboradores, te acogerá para participar en la aventura humana que vivimos día a día. Iniciativa, entusiasmo, respeto, sentido de servicio, perseverancia y espíritu de equipo, ¡son los valores que nos mueven!
FUNCIONES

Gestión de siniestros
Gestión de llamadas entrantes  en castellano por teléfono o vía chat
Informar a los asegurados sobre las garantías de su póliza de seguro
Informar a los asegurados sobre los procedimientos que tienen que seguir en caso de siniestro
Gestión administrativa de expedientes de siniestros
","COMPETENCIAS

Clara orientación al cliente
Espíritu de equipo
Dominio del estrés y rigor

REQUISITOS 

Primordial un nivel Nativo o Bilingüe del idioma Español.
Habilidades avanzadas de comunicación
Total disponibilidad y Flexibilidad horaria
Manejo de herramientas telefónicas e informáticas

QUE OFRECEMOS

Incorporación a Multinacional  líder en su sector
Horario: de lunes a sábado
40h/ semana con 2 días de  descanso

Transporte asegurado:

A partir de las 6:15 viniendo del centro de Túnez
A partir de las 17:00 hasta el centro – Bab Saadoun – Raoued
A partir de las 20:00 hasta el domicilio

Remuneración

Salario fijo
Prima sobre objetivos mensuales
Tickets restaurant
Seguro de salud, de incapacidad y de fallecimiento opcional
Formación de inicio sobre productos  y herramientas en el trabajo.

Puedes enviar tu candidatura",Charguia 1
16,16,https://www.tanitjobs.com/job/559234/agent-commercial/?backPage=1&searchID=1559550706.3656,Agent commercial,CDI,10/06/2019,,"Bonjour à tous,
Dans le cadre de son développement commercial, la société Oxilog recherche un agent commercial pour la vente et la distribution de ses services de Télécom et de développement Web
Si ce poste vous intéresse, merci d'envoyer votre candidature ",10/07/2019,"Le cercle des bureaux, Boulevard de la Terre, Tunis, Tunisie"
17,17,https://www.tanitjobs.com/job/477401/hotliners/?backPage=&searchID=1560199048.8405,Hotliners,CDI,03/12/2018,28/09/2019,"Technicien Support dans un centre de contact en réception d'appel, vous serez amené à installer, conseiller, dépanner, former nos clients sur nos applications clientes.(Office Mac, PC, Mobiles, Applications Web, Applications de synchronisation, ...).
Vous participerez activement à l'élaboration de tutoriels à usage interne et usage de nos clients. (Robohelp)
Vous pourrez participer à la maintenance, de notre site web sous Wordpress.","Qualités recherchées:
Vous êtes à l'aise au téléphone, souriant, aimable, possédez le sens du service et le gout du travail bien fait.Vous êtes curieux, aimez les techniques matérielles et logicielles informatique et Web.Vous êtes capable d'initiatives et en mesure de vous améliorer par vous même.Vous aimez travailler en équipe.
Profil recherché

Vous avez une bonne maitrise de l’environnement Windows, MAC et la suite Microsoft Office.
Vous avez une expérience en paramétrage, développement application / site Web.
Vous avez une expérience professionnelle en support informatique.
Vous maîtrisez parfaitement le français (parlé et écrit)
Vous utilisez régulièrement à titre personnel ou professionnel les outils informatiques.
Sens du relationnel, (contact direct avec nos clients)
Compétences techniques requises
Maitrise Hardware (PC/MAC)
Maitrise OS, Mac OS toutes versions/ Windows Toutes Versions
Maitrise Suite Microsoft Office PC/MAC (Plus particulièrement Outlook)
Connaissance/ Maitrise environnement Smartphones/ Tablettes (iPhone, Winphone, Androïde etc...)
Connaissance en administration réseau et système : Niveau domestique et petite entreprise

 
 
Rémunération
Vous évoluerez dans de bonnes conditions et ambiance de travail.Salaire motivant, à partir de 1200 DT selon compétences + primes.Tickets restaurants 5 dinars.Une très bonne assurance groupe prise en charge à 100% par notre société  Postes stables Temps plein à pourvoir CDI.

Merci d'envoyer vos candidatures à :  hotline@atoutcom.tn 
","Les Berges Du Lac II, Tunis, Gouvernorat de Tunis, Tunisie"
18,18,https://www.tanitjobs.com/job/559235/inspecteur-en-électricité-et-levage/?backPage=1&searchID=1559550706.3656,Inspecteur en électricité et levage,CDI,10/06/2019,,"Adecco recrute pour le compte de son client un  bureau de contrôle accrédité est le leader Tunisien de l'inspection et du contrôle technique en sécurité des  Inspecteurs en électricité et levage .

Critères : 
-Ingénieur en électromécanique, mécanique...(2 ans d'expérience)
-Technicien supérieur en électromécanique, mécanique ( 3 ans d'expérience)
-Motorisé
Si vous êtes intéressés, merci d'envoyer votre candidature à l'adresse suivante: meryam.houimdi@adeccotunisie.com",10/07/2019,"Montplaisir, Tunis, Tunisie"
19,19,https://www.tanitjobs.com/job/559242/technico-commercial-h-f/?backPage=1&searchID=1559550706.3656,Technico-commercial (H/F),Temps plein,10/06/2019,10/07/2019,"
 votre principale mission est d’accueillir, écouter, conseiller le client dans ses besoins télécoms et vous assurer de sa satisfaction. Tels sont les maîtres mots qui orientent votre action. Vous offrez aux clients une relation personnalisée, basée sur la proximité et l’honnêteté.
Au poste de conseiller technique en boutique, vous accompagnez tel un coach le client dans sa découverte des nouveaux usages télécoms associés aux produits commercialisés par Orange et assurez les opérations nécessaires (activation carte, paramétrage ..) à une configuration personnalisée ou à une utilisation immédiate en sortie de boutique.

 ","Votre profil (F/H)
De formation bac à bac +2 orientée relation client, vous disposez dans l’idéal d’une première expérience de la vente et le contact avec le client vous motive.
Pédagogue, vous êtes à même de valoriser auprès des clients Orange votre enthousiasme pour les nouvelles technologies et les services innovants associés. Notez que pour le poste de conseiller technique en boutique, vous devez être un technophile averti.","El ghazela, Ariana, Tunisie"
20,20,https://www.tanitjobs.com/job/559245/acheteur/?backPage=1&searchID=1559550706.3656,Acheteur,CDD,10/06/2019,,"leader dans le domaine de la conception et fabrication des cuisines équipes et dressing, la société promocuisine cherche un acheteur afin de renforcer son service d'achat et d’approvisionnement, 
Missions:
Examiner les différentes offres, choisir les produits et services dont l'entreprise a besoin,
Prospecter des fournisseurs et des prestataires,
Négocier les prix, les délais et le service après-vente,
Veiller sur la qualité des produits,
Établir et passer les commandes, effectuer les achats
Assurer le reporting auprès de la Direction financière et générale de l'entreprise.",10/07/2019,"Tazarka, Tunisie"
